ID,Score,"Emails Sent","Open Rate","Unsubscription Rate","Bounce Rate","Complaint Rate"
1423040,14.36,57973,4.1,0,3.02,0.03
1523001,79.21,57951,38.45,0.15,0.91,0.01
334136,62.06,57942,28.54,0,2.49,0
70199,17.7,57920,5.38,0,3.47,0
465745,45.82,57903,20.47,0,2.44,0
1341744,53.36,57782,23.99,0,2.69,0
184202,60.78,57756,28.76,0.1,1.46,0.01
536893,54.92,57715,25.88,0,1.52,0.03
348792,53.34,57568,23.99,0,2.68,0
832687,23.32,57562,10.27,0,1.39,0
1403277,26.89,57510,12.45,0.13,0.8,0
1313102,3.72,57490,1.06,0,0.8,0
412042,42.98,57403,21.05,0,0.44,0
1161948,32.22,57402,14.71,0.12,1.16,0.03
415372,45.42,57395,21.64,0.1,0.9,0.01
517296,50.52,57190,23.42,0,1.8,0.02
312896,13.98,57133,6.34,0,0.63,0.01
1473206,26.94,57129,12.88,0,0.57,0.01
1021418,65.5,57101,28.69,0,4.06,0
509471,41.9,57087,20.35,0,0.56,0.02
908051,52.54,57054,20.94,0,5.31,0.01
1315319,29,56952,11.15,0,3.35,0
278946,34.78,56949,16.69,0,0.7,0
1474875,25.66,56939,8.02,0,4.81,0
272952,23.61,56915,10.58,0.21,0.87,0.02
1368848,36.54,56849,16.65,0,1.58,0.02
106441,14.06,56840,3.08,0,3.95,0
1170846,66.42,56833,27.56,0,5.63,0.01
689212,25.44,56803,12.22,0.02,0.45,0.01
436070,44.14,56803,20.33,0,1.72,0.01
665658,80.48,56675,32.82,0,7.38,0.02
1452613,42.85,56667,19.99,0.03,1.39,0
1059414,42.78,56651,20.95,0,0.44,0
11346,71.4,56575,34,0.04,1.64,0
442772,34.48,56552,16.25,0,0.97,0.01
844513,33.54,56495,15.69,0,1.08,0
1444680,29.86,56476,14.02,0,0.91,0
603500,18.02,56420,8.39,0,0.6,0.01
1121873,24,56374,11.29,0,0.69,0.01
249323,31.82,56230,14.59,0,1.32,0
138206,64.38,56179,28.01,0,4.18,0
1507480,0,56127,0,0,0,0
850203,17.42,56059,7.87,0,0.84,0
832874,29.46,56000,13.03,0.06,1.61,0
935740,45.08,55961,20.66,0,1.86,0.01
765739,52.2,55947,25.11,0,0.99,0
475322,65.61,55715,32.19,0.19,0.31,0.01
1357106,12.13,55698,5.7,0.03,0.32,0
934282,22.96,55683,9.62,0,1.86,0
1101373,9.08,55661,4.01,0,0.53,0
604158,26.7,55650,12.09,0,1.26,0
1408267,16.58,55519,6.89,0,1.38,0.01
